indiv,ssp,Length
Viscum album 2,Viscum album,4.859
Viscum album 2,Viscum album,3.127
Viscum album 2,Viscum album,3.033
Viscum album 2,Viscum album,4.257
Viscum album 2,Viscum album,4.749
Viscum album 2,Viscum album,5.732
Viscum album 2,Viscum album,3.41
Viscum album 2,Viscum album,4.754
Viscum album 2,Viscum album,4.728
Viscum album 2,Viscum album,4.652
Viscum album 2,Viscum album,6.408
Viscum album 2,Viscum album,2.652
Viscum album 2,Viscum album,3.153
Viscum album 2,Viscum album,4.749
Viscum album 3,Viscum album,7.332
Viscum album 3,Viscum album,6.439
Viscum album 3,Viscum album,5.469
Viscum album 3,Viscum album,5.79
Viscum album 3,Viscum album,6.594
Viscum album 3,Viscum album,6.026
Viscum album 3,Viscum album,4.344
Viscum album 3,Viscum album,7.556
Viscum album 3,Viscum album,3.215
Viscum album 3,Viscum album,5.636
Viscum album 3,Viscum album,8.267
Viscum album 3,Viscum album,5.145
Viscum album 3,Viscum album,7.955
Viscum album 3,Viscum album,5.469
Viscum album 3,Viscum album,7.235
Viscum album 3,Viscum album,6.128
Viscum album 3,Viscum album,6.599
Viscum album 3,Viscum album,8.199
Viscum album 3,Viscum album,6.303
Viscum album 3,Viscum album,6.401
Viscum album 3,Viscum album,5.145
Viscum album 3,Viscum album,5.983
Viscum album 3,Viscum album,8.201
Viscum album 3,Viscum album,5.581
Viscum album 3,Viscum album,7.584
Viscum album 3,Viscum album,5.823
Viscum album 3,Viscum album,5.664
Viscum album 3,Viscum album,7.063
Viscum album 3,Viscum album,5.177
Viscum album 3,Viscum album,6.052
Vochysia thyrsoidea 1,Vochysia thyrsoidea,5.828
Vochysia thyrsoidea 1,Vochysia thyrsoidea,6.906
Vochysia thyrsoidea 1,Vochysia thyrsoidea,6.37
Vochysia thyrsoidea 1,Vochysia thyrsoidea,5.217
Vochysia thyrsoidea 1,Vochysia thyrsoidea,6.481
Vochysia thyrsoidea 1,Vochysia thyrsoidea,10.999
Vochysia thyrsoidea 1,Vochysia thyrsoidea,6.881
Vochysia thyrsoidea 1,Vochysia thyrsoidea,9.322
Vochysia thyrsoidea 1,Vochysia thyrsoidea,9.298
Vochysia thyrsoidea 1,Vochysia thyrsoidea,6.653
Vochysia thyrsoidea 1,Vochysia thyrsoidea,8.488
Vochysia thyrsoidea 1,Vochysia thyrsoidea,9.047
Vochysia thyrsoidea 1,Vochysia thyrsoidea,10.981
Vochysia thyrsoidea 1,Vochysia thyrsoidea,8.621
Vochysia thyrsoidea 1,Vochysia thyrsoidea,8.366
Vochysia thyrsoidea 1,Vochysia thyrsoidea,9.844
Vochysia thyrsoidea 1,Vochysia thyrsoidea,6.281
Vochysia thyrsoidea 1,Vochysia thyrsoidea,12.774
Vochysia thyrsoidea 1,Vochysia thyrsoidea,8.29
Vochysia thyrsoidea 1,Vochysia thyrsoidea,6.173
Vochysia thyrsoidea 1,Vochysia thyrsoidea,7.175
Vochysia thyrsoidea 1,Vochysia thyrsoidea,7.919
Vochysia thyrsoidea 1,Vochysia thyrsoidea,9.589
Vochysia thyrsoidea 1,Vochysia thyrsoidea,6.984
Vochysia thyrsoidea 1,Vochysia thyrsoidea,9.555
Vochysia thyrsoidea 1,Vochysia thyrsoidea,7.509
Vochysia thyrsoidea 1,Vochysia thyrsoidea,5.507
Vochysia thyrsoidea 1,Vochysia thyrsoidea,5.177
Vochysia thyrsoidea 1,Vochysia thyrsoidea,6.315
Vochysia thyrsoidea 1,Vochysia thyrsoidea,5.91
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.682
Vochysia thyrsoidea 2,Vochysia thyrsoidea,7.434
Vochysia thyrsoidea 2,Vochysia thyrsoidea,7.105
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.93
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.77
Vochysia thyrsoidea 2,Vochysia thyrsoidea,7.136
Vochysia thyrsoidea 2,Vochysia thyrsoidea,7.458
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.712
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.479
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.648
Vochysia thyrsoidea 2,Vochysia thyrsoidea,6.314
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.838
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.514
Vochysia thyrsoidea 2,Vochysia thyrsoidea,6.98
Vochysia thyrsoidea 2,Vochysia thyrsoidea,6.76
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.561
Vochysia thyrsoidea 2,Vochysia thyrsoidea,6.118
Vochysia thyrsoidea 2,Vochysia thyrsoidea,6.052
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.797
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.77
Vochysia thyrsoidea 2,Vochysia thyrsoidea,6.152
Vochysia thyrsoidea 2,Vochysia thyrsoidea,4.767
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.646
Vochysia thyrsoidea 2,Vochysia thyrsoidea,6.917
Vochysia thyrsoidea 2,Vochysia thyrsoidea,5.395
Vochysia thyrsoidea 2,Vochysia thyrsoidea,6.762
Vochysia thyrsoidea 2,Vochysia thyrsoidea,6.464
Vochysia thyrsoidea 2,Vochysia thyrsoidea,7.586
Vochysia thyrsoidea 2,Vochysia thyrsoidea,6.007
Vochysia thyrsoidea 2,Vochysia thyrsoidea,7.119
Vochysia thyrsoidea 3,Vochysia thyrsoidea,5.846
Vochysia thyrsoidea 3,Vochysia thyrsoidea,10.396
Vochysia thyrsoidea 3,Vochysia thyrsoidea,6.874
Vochysia thyrsoidea 3,Vochysia thyrsoidea,4.826
Vochysia thyrsoidea 3,Vochysia thyrsoidea,11.254
Vochysia thyrsoidea 3,Vochysia thyrsoidea,7.332
Vochysia thyrsoidea 3,Vochysia thyrsoidea,7.884
Vochysia thyrsoidea 3,Vochysia thyrsoidea,6.821
Vochysia thyrsoidea 3,Vochysia thyrsoidea,2.849
Vochysia thyrsoidea 3,Vochysia thyrsoidea,5.084
Vochysia thyrsoidea 3,Vochysia thyrsoidea,7.411
Vochysia thyrsoidea 3,Vochysia thyrsoidea,7.643
Vochysia thyrsoidea 3,Vochysia thyrsoidea,7.744
Vochysia thyrsoidea 3,Vochysia thyrsoidea,7.418
Vochysia thyrsoidea 3,Vochysia thyrsoidea,6.439
Vochysia thyrsoidea 3,Vochysia thyrsoidea,6.27
Vochysia thyrsoidea 3,Vochysia thyrsoidea,6.143
Vochysia thyrsoidea 3,Vochysia thyrsoidea,5.466
Vochysia thyrsoidea 3,Vochysia thyrsoidea,5.155
Vochysia thyrsoidea 3,Vochysia thyrsoidea,5.459
Vochysia thyrsoidea 3,Vochysia thyrsoidea,8.545
Vochysia thyrsoidea 3,Vochysia thyrsoidea,4.89
Vochysia thyrsoidea 3,Vochysia thyrsoidea,6.154
Vochysia thyrsoidea 3,Vochysia thyrsoidea,6.277
Vochysia thyrsoidea 3,Vochysia thyrsoidea,7.596
Vochysia thyrsoidea 3,Vochysia thyrsoidea,4.279
Vochysia thyrsoidea 3,Vochysia thyrsoidea,5.673
Vochysia thyrsoidea 3,Vochysia thyrsoidea,5.321
Vochysia thyrsoidea 3,Vochysia thyrsoidea,4.648
Vochysia thyrsoidea 3,Vochysia thyrsoidea,3.669
Populus nigra 1,Populus nigra ,6.247
Populus nigra 1,Populus nigra ,6.133
Populus nigra 1,Populus nigra ,5.122
Populus nigra 1,Populus nigra ,5.07
Populus nigra 1,Populus nigra ,4.85
Populus nigra 1,Populus nigra ,7.436
Populus nigra 1,Populus nigra ,4.492
Populus nigra 1,Populus nigra ,5.75
Populus nigra 1,Populus nigra ,5.163
Populus nigra 1,Populus nigra ,5.699
Populus nigra 1,Populus nigra ,5.753
Populus nigra 1,Populus nigra ,5.401
Populus nigra 1,Populus nigra ,4.128
Populus nigra 1,Populus nigra ,5.097
Populus nigra 1,Populus nigra ,6.241
Populus nigra 1,Populus nigra ,5.269
Populus nigra 1,Populus nigra ,4.776
Populus nigra 1,Populus nigra ,5.604
Populus nigra 1,Populus nigra ,5.354
Populus nigra 1,Populus nigra ,6.682
Populus nigra 1,Populus nigra ,6.213
Populus nigra 1,Populus nigra ,6.409
Populus nigra 1,Populus nigra ,6.558
Populus nigra 1,Populus nigra ,6
Populus nigra 1,Populus nigra ,5.175
Populus nigra 1,Populus nigra ,5.231
Populus nigra 1,Populus nigra ,5.152
Populus nigra 1,Populus nigra ,6.919
Populus nigra 1,Populus nigra ,5.977
Populus nigra 1,Populus nigra ,7.09
