ssp;label;pic;Count;Total Area;Average Size;%Area;Circ.;Solidity
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 008-1.tif;78;39.157.969;502.025;8.31;0.656;0.901
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 009-1.tif;52;21.119.863;406.151;4.482;0.744;0.913
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 010-1.tif;72;31946.39;443.7;6.78;0.802;0.947
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 001-1.tif;32;14906.4;465.825;3.163;0.768;0.938
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 002-1.tif;47;13.083.735;278.377;2.777;0.463;0.73
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 003-1.tif;55;24.857.182;451.949;5.275;0.692;0.897
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 004-1.tif;56;21.714.238;387.754;4.608;0.589;0.882
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 005-1.tif;57;29.828.201;523.302;6.33;0.713;0.925
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 002-1.tif;116;283.211.222;2.441.476;16.282;0.778;0.93
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 003-1.tif;89;177.562.705;1.995.087;10.208;0.792;0.937
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 004-1.tif;106;192.667.924;1.817.622;11.077;0.794;0.935
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 005-1.tif;155;305.146.667;1.968.688;17.543;0.75;0.925
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 006-1.tif;147;270.286.428;1.838.683;15.539;0.771;0.931
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 007-1.tif;160;288.890.622;1.805.566;16.609;0.766;0.93
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 008-1.tif;169;296.448.214;1.754.131;17.043;0.773;0.933
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 009-1.tif;118;245.212.363;2.078.071;14.098;0.768;0.937
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 010-1.tif;121;230.135.374;1.901.945;13.231;0.775;0.936
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 011-1.tif;126;244.714.169;1.942.176;14.069;0.763;0.933
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 002-1.tif;157;90.342.862;575.432;16.518;0.771;0.938
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 003-1.tif;104;54.187.609;521.035;9.908;0.712;0.879
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 004-1.tif;96;54.938.957;572.281;10.045;0.784;0.941
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 005-1.tif;97;68.933.802;710.658;12.604;0.788;0.942
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 006-1.tif;82;54.676.047;666.781;9.997;0.773;0.938
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 008-1.tif;80;54.747.901;684.349;9.978;0.78;0.94
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 009-1.tif;142;79.073.471;556.855;14.255;0.754;0.935
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 010-1.tif;150;78.415.575;522.77;16.396;0.742;0.929
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 011-1.tif;74;26.410.716;356.902;18.563;0.77;0.956
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 007-1.tif;51;18.163.714;356.151;12.942;0.78;0.962
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 007-1.tif;177;223.603.812;1.263.298;13.249;0.81;0.943
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 008-1.tif;201;306.620.641;1.525.476;18.168;0.808;0.939
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 009-1.tif;192;276.032.616;1437.67;16.355;0.807;0.936
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 010-1.tif;173;321.766.409;1.859.921;19.065;0.789;0.937
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 011-1.tif;192;368707.69;1.920.353;21.846;0.8;0.943
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 001-1.tif;156;248.772.223;1.594.694;14.74;0.817;0.94
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 003-1.tif;153;219.419.842;1.434.117;13.001;0.832;0.949
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 004-1.tif;146;232.206.952;1.590.459;13.758;0.82;0.943
