ssp,indiv,Label,Area,Circ.,%Area,AR,Round,Solidity
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,233.923,0.767,99.288,1.866,0.536,0.937
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,805.826,0.801,100,1.081,0.925,0.948
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,818.73,0.905,100,1.065,0.939,0.972
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,93.652,0.825,100,1.835,0.545,0.934
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,1012.694,0.772,99.794,1.67,0.599,0.959
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,493.236,0.732,99.241,2.129,0.47,0.957
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,218.522,0.895,100,1.303,0.768,0.951
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,579.396,0.786,99.282,1.301,0.769,0.961
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,254.734,0.521,97.876,3.526,0.284,0.919
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,161.914,0.917,100,1.28,0.781,0.952
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,275.962,0.898,100,1.16,0.862,0.952
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,591.05,0.776,100,1.909,0.524,0.958
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,573.569,0.889,100,1.203,0.831,0.965
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,863.266,0.795,99.711,1.383,0.723,0.942
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,226.847,0.812,100,1.492,0.67,0.952
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,668.886,0.825,100,1.445,0.692,0.966
