ssp;label;pic;PitDiameter;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 034.tif;30.297;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 034.tif;28.713;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 036.tif;30.297;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 036.tif;30.961;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 036.tif;29.82;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 036.tif;29.757;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 036.tif;29.115;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 036.tif;27.068;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 036.tif;30.961;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 036.tif;28.422;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 036.tif;30.995;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 037.tif;30.995;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 037.tif;26.431;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 037.tif;30.961;;;;;;;;
Phoradendron perrotettii;Phoradendron perrotettii 3;Phoradendron Perrottettii 3- GC4841 x100 037.tif;28.539;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 034.tif;62.513;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 034.tif;69.606;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 034.tif;69.749;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 034.tif;59.462;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 034.tif;67.028;;;;;;;;
