ssp,indiv,Label,Count,Total Area,Average Size,%Area,Circ.,Solidity
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 007-1.tif,99,427061.95,4313.76,9.70,0.79,0.95
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 008-1.tif,40,179581.10,4489.53,4.08,0.80,0.95
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 009-1.tif,124,455584.40,3674.07,10.34,0.81,0.95
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 010-1.tif,52,228870.64,4401.36,5.20,0.72,0.91
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 002-1.tif,31,154657.78,4988.96,13.87,0.73,0.95
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 003-1.tif,28,123333.26,4404.76,11.06,0.69,0.94
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 004-1.tif,22,80064.56,3639.30,7.18,0.76,0.96
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 005-1.tif,29,66541.23,2294.53,5.97,0.77,0.95
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 006-1.tif,26,64938.31,2497.63,5.82,0.80,0.96
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 007-1.tif,11,73394.64,6672.24,6.58,0.71,0.96
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 008-1.tif,31,64022.60,2065.25,5.74,0.81,0.96
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 009-1.tif,25,90148.44,3605.94,8.08,0.74,0.96
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 010-1.tif,16,106931.98,6683.25,9.59,0.70,0.96
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 011-1.tif,18,87828.58,4879.37,7.87,0.73,0.96
