Label,ssp,indiv,HydraulicDiameter,VesselDensity,VesselFraction,Kmax,parasitism
Psittacanthus robustus 2 - GC4842 x5 010-1.tif,Psittacanthus robustus,Psittacanthus robustus 2,87.3115816563488,17.4172003103317,3.8,24.7488780620588,Parasite
psittacanthus robustus 3 - GC 4842 x5 001.tif,Psittacanthus robustus,Psittacanthus robustus 3,132.596642514204,12.9942828395803,5.89,98.2137225680795,Parasite
psittacanthus robustus 3 - GC 4842 x5 002.tif,Psittacanthus robustus,Psittacanthus robustus 3,127.66210601003,16.0352791541864,6.59,104.139212759878,Parasite
psittacanthus robustus 3 - GC 4842 x5 003.tif,Psittacanthus robustus,Psittacanthus robustus 3,128.734552133244,15.6262900863268,6.57,104.936393745689,Parasite
psittacanthus robustus 3 - GC 4842 x5 004.tif,Psittacanthus robustus,Psittacanthus robustus 3,128.435505958692,13.396105662171,5.63,89.1268823277634,Parasite
psittacanthus robustus 3 - GC 4842 x5 005.tif,Psittacanthus robustus,Psittacanthus robustus 3,125.965495480301,11.777787690204,5.34,72.503649169834,Parasite
psittacanthus robustus 3 - GC 4842 x5 006.tif,Psittacanthus robustus,Psittacanthus robustus 3,126.883767168759,13.5941340855636,5.52,86.1520376290008,Parasite
psittacanthus robustus 3 - GC 4842 x5 007.tif,Psittacanthus robustus,Psittacanthus robustus 3,132.448235353954,12.3763404270541,5.74,93.1250887161813,Parasite
psittacanthus robustus 3 - GC 4842 x5 010.tif,Psittacanthus robustus,Psittacanthus robustus 3,127.998137388919,12.9800147134629,5.74,85.1882175698939,Parasite
psittacanthus robustus 3 - GC 4842 x5 011.tif,Psittacanthus robustus,Psittacanthus robustus 3,124.871913017935,13.8021520480915,5.83,82.053217381683,Parasite
psittacanthus robustus 3 - GC 4842 x5 012.tif,Psittacanthus robustus,Psittacanthus robustus 3,125.219507436921,16.8435239515857,7.16,101.253645874258,Parasite
Struthanthus rhynchophyllus - VSB25 x10 001-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,60.6590915575248,58.8404508486101,6,19.4782235796286,Parasite
Struthanthus rhynchophyllus - VSB25 x10 002-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,62.12114946214,58.8931169333513,6.72,21.4443170526117,Parasite
Struthanthus rhynchophyllus - VSB25 x10 003-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,62.787871510826,59.7595398358532,6.31,22.709105876891,Parasite
Struthanthus rhynchophyllus - VSB25 x10 004-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,58.8666130408796,69.560891627671,6.59,20.423542937523,Parasite
Struthanthus rhynchophyllus - VSB25 x10 005-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,61.0476925503864,45.4530042866484,4.6,15.4358075166872,Parasite
Struthanthus rhynchophyllus - VSB25 x10 006-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,69.4506260359603,58.8629495376517,7.88,33.4839301057419,Parasite
Struthanthus rhynchophyllus - VSB25 x10 007-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,67.3593894336731,59.7384243146061,7.1,30.0701834799438,Parasite
Struthanthus rhynchophyllus - VSB25 x10 008-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,57.8332702268368,70.5049093617698,6.76,19.2850206269631,Parasite
Struthanthus rhynchophyllus - VSB25 x10 009-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,64.8352497204103,65.0921579713156,7.84,28.1230985333794,Parasite
Struthanthus rhynchophyllus - VSB25 x10 010-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,55.737019307244,64.2854466279517,5.79,15.1697132729545,Parasite
Struthanthus rhynchophyllus - VSB26 x10 001-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,58.0348787652361,88.3410230205677,8.17,24.502392779379,Parasite
Struthanthus rhynchophyllus - VSB26 x10 002-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,55.4314811763459,108.892715396027,8.94,25.1370615535157,Parasite
Struthanthus rhynchophyllus - VSB26 x10 003-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,57.5962573900428,99.933594569573,9.02,26.8892266297562,Parasite
Struthanthus rhynchophyllus - VSB26 x10 004-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,64.6217898752692,68.6766311766312,8.05,29.2829389230767,Parasite
Struthanthus rhynchophyllus - VSB26 x10 005-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,67.4088968976103,74.9735207959963,9.69,37.8500566704612,Parasite
Struthanthus rhynchophyllus - VSB26 x10 006-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,63.1914958290872,66.9590010100769,6.98,26.1055745535986,Parasite
Struthanthus rhynchophyllus - VSB26 x10 007-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,63.6708621700992,91.9285887387614,9.94,36.9405419704592,Parasite
Struthanthus rhynchophyllus - VSB26 x10 008-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,54.8700901334741,109.675262905972,8.83,24.3075465200125,Parasite
Struthanthus rhynchophyllus - VSB26 x10 009-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,60.32282860409,103.532969561276,10.41,33.5193207517309,Parasite
Struthanthus rhynchophyllus - VSB26 x10 011-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,59.3696220168581,52.6040158156892,4.99,15.979595534231,Parasite
Struthanthus rhynchophyllus - VSB27 x10 001-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,55.0674661072051,38.3407708720271,3.53,8.62047030536802,Parasite
Struthanthus rhynchophyllus - VSB27 x10 002-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,49.6804451745011,33.0405394657115,2.47,4.92128811991618,Parasite
Struthanthus rhynchophyllus - VSB27 x10 003-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,58.1992906669764,50.8316501366987,5.02,14.2591855830102,Parasite
Struthanthus rhynchophyllus - VSB27 x10 004-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,50.9410075151113,49.1067153407921,4.41,8.08538592015239,Parasite
Struthanthus rhynchophyllus - VSB27 x10 005-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,59.4141236568,55.3079596044745,5.96,16.8514069685482,Parasite
Struthanthus rhynchophyllus - VSB27 x10 006-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,52.5919151791393,66.0255314994264,5.41,12.3503025892155,Parasite
Struthanthus rhynchophyllus - VSB27 x10 007-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,57.9430654750582,60.7070910482776,6.14,16.7315062963353,Parasite
Struthanthus rhynchophyllus - VSB27 x10 008-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,57.9654313899658,69.5851628229252,6.99,19.2080237525377,Parasite
Struthanthus rhynchophyllus - VSB27 x10 009-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,55.9294395860397,45.546346217545,4.02,10.8969550886742,Parasite
Struthanthus rhynchophyllus - VSB27 x10 010-1.tif,Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,56.2101803633798,70.4974490300997,6.31,17.2077094554723,Parasite
Tapirira guianensis 2 - GC4841 x10 002.tif,Tapirira guianensis,Tapirira guianensis 2,68.3334248813876,150.132431616375,18.06,80.0381456916171,Host
Tapirira guianensis 2 - GC4841 x10 003.tif,Tapirira guianensis,Tapirira guianensis 2,73.3655012204481,72.9000158314322,10.48,51.6398444398883,Host
Tapirira guianensis 2 - GC4841 x10 004.tif,Tapirira guianensis,Tapirira guianensis 2,65.7577879226551,91.3534485242986,10.79,41.7641333886585,Host
Tapirira guianensis 2 - GC4841 x10 005.tif,Tapirira guianensis,Tapirira guianensis 2,74.2425761733036,98.3266783558522,14.3,73.042099540022,Host
Tapirira guianensis 2 - GC4841 x10 006.tif,Tapirira guianensis,Tapirira guianensis 2,73.0077853673451,84.3117211238513,11.98,58.5671917840261,Host
Tapirira guianensis 2 - GC4841 x10 007.tif,Tapirira guianensis,Tapirira guianensis 2,51.6365488052358,167.984184533385,13.61,29.2002771999686,Host
Tapirira guianensis 2 - GC4841 x10 008.tif,Tapirira guianensis,Tapirira guianensis 2,73.3075918603466,70.8189097290008,10.25,50.0074600283983,Host
Tapirira guianensis 2 - GC4841 x10 009.tif,Tapirira guianensis,Tapirira guianensis 2,66.5526399036471,124.571640051002,15.13,59.7544257965771,Host
Tapirira guianensis 2 - GC4841 x10 010.tif,Tapirira guianensis,Tapirira guianensis 2,65.3705329022391,146.073191045811,17.25,65.2211369481616,Host
Tapirira guianensis 2 - GC4841 x10 011.tif,Tapirira guianensis,Tapirira guianensis 2,102.288324108941,65.4408403927572,18.86,175.163198848097,Host
Tapirira guianensis 3 - GC4841 x5 001-1.tif,Tapirira guianensis,Tapirira guianensis 3,111.643991622027,56.0825352422406,17,213.038848926783,Host
Tapirira guianensis 3 - GC4841 x5 003-1.tif,Tapirira guianensis,Tapirira guianensis 3,105.329613539508,54.8787493280624,16.36,165.156593027479,Host
Tapirira guianensis 3 - GC4841 x5 004-1.tif,Tapirira guianensis,Tapirira guianensis 3,108.339775251673,53.0772750030458,16.8,178.792824942527,Host
