ssp,indiv,pic,Area,Circ.,X.Area,AR,Round,Solidity,VesselDiameter
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1095.356,0.629,99.071,2.498,0.4,0.935,37.3450207492636
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1606.57885,0.855,100,1.025,0.976,0.965,45.22786445937
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,813.8869,0.846,100,1.343,0.745,0.959,32.1911942310613
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,889.34125,0.67,99.809,2.458,0.407,0.916,33.6503261241879
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,989.38125,0.833,99.657,1.581,0.633,0.958,35.4925250203406
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1974.52515,0.851,99.871,1.334,0.749,0.969,50.140238362558
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1362.4136,0.734,97.822,2.097,0.477,0.966,41.6494762488677
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,654.50145,0.903,96.373,1.096,0.913,0.954,28.8675791888843
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1411.5849,0.859,99.88,1.316,0.76,0.961,42.3944066526591
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,491.72325,0.915,100,1.248,0.801,0.959,25.0216203904882
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,869.84165,0.8,100,1.694,0.59,0.954,33.2793747903665
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,286.5572,0.923,100,1.317,0.759,0.945,19.1012030738533
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1542.14735,0.812,100,1.489,0.672,0.957,44.3116574935822
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1067.37965,0.836,100,1.358,0.737,0.955,36.8650237979793
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1768.5104,0.868,99.808,1.306,0.765,0.968,47.4524749255021
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1715.94635,0.915,99.605,1.094,0.914,0.971,46.7419591958228
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1452.27945,0.864,100,1.288,0.776,0.963,43.0011584233057
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,638.39255,0.655,100,2.327,0.43,0.972,28.5101146915322
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,2047.43545,0.878,99.296,1.028,0.973,0.973,51.0575731917669
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,570.5683,0.864,100,1.307,0.765,0.949,26.9531097005951
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,2442.5094,0.812,100,1.686,0.593,0.971,55.7664734089162
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,685.87055,0.697,100,2.217,0.451,0.973,29.5512691238339
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,745.216,0.753,99.204,1.932,0.518,0.949,30.8032219186461
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,2094.9114,0.71,99.191,1.95,0.513,0.95,51.6461425200034
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,2740.9361,0.732,99.691,1.855,0.539,0.947,59.0751067041963
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1602.3415,0.798,99.947,1.638,0.61,0.964,45.1681808574383
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1241.17865,0.887,99.863,1.282,0.78,0.973,39.7532104270964
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,640.9366,0.769,100,1.935,0.517,0.953,28.5668658551844
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,856.2768,0.784,100,1.714,0.583,0.945,33.0188655619675
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1308.1542,0.874,99.806,1.291,0.774,0.964,40.8116853125596
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,1130.1158,0.782,99.625,1.433,0.698,0.952,37.9329424997589
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 008-1.tif,857.1255,0.756,99.209,1.495,0.669,0.971,33.0352248577318
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,2234.73165,0.804,99.885,1.705,0.586,0.977,53.3418101366204
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1335.3782,0.804,100,1.458,0.686,0.977,41.2341646140341
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,2085.4076,0.7,98.036,1.985,0.504,0.968,51.528860100057
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1514.56665,0.861,99.775,1.17,0.855,0.963,43.9136214848771
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1196.2939,0.882,98.645,1.25,0.8,0.964,39.027793950023
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,684.32895,0.862,99.377,1.342,0.745,0.942,29.5180399204807
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,872.9023,0.833,99.413,1.112,0.899,0.952,33.3378722633925
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,555.48235,0.81,99.539,1.541,0.649,0.94,26.5943996815574
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,395.9206,0.883,100,1.411,0.709,0.949,22.4522106816962
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,959.9371,0.864,98.489,1.471,0.68,0.962,34.9604044052467
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1531.6329,0.83,99.61,1.258,0.795,0.967,44.1603394042369
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,948.84455,0.686,98.291,1.781,0.562,0.948,34.7578250594947
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,2506.07375,0.893,100,1.143,0.875,0.976,56.4874517085232
