ssp,pc1,pc2,pc3,pe1,pe2,pcd,parasitism,peavg,pcavg,pitavg
Viscum album,0.681,0.654,0.595,0.448,0.645,0.292,,0.5465,0.643333333333333,0.6046
Viscum album,0.641,0.679,0.72,0.541,0.465,0.17,,0.503,,0.6092
Viscum album,0.61,0.647,0.608,0.461,0.519,0.149,,0.49,0.621666666666667,0.569
Viscum album,0.798,0.9,0.879,0.614,0.75,0.29,,,,
Viscum album,0.473,0.507,0.503,0.417,0.362,0.373,,0.3895,0.494333333333333,0.4524
Viscum album,0.616,0.607,0.533,0.488,0.357,0.272,,0.4225,0.585333333333333,0.5202
Populus nigra,0.219,0.157,0.162,0.198,0.163,0.469,,0.1805,0.179333333333333,0.1798
Populus nigra,0.225,0.181,0.162,0.107,0.171,0.61,,0.139,0.189333333333333,0.1692
Populus nigra,0.307,0.299,0.269,0.202,0.286,,,0.244,0.291666666666667,0.2726
Populus nigra,0.322,0.352,0.324,0.266,0.285,0.556,,0.2755,0.332666666666667,0.3098
Populus nigra,0.345,0.313,0.336,0.216,0.246,1.048,,0.231,0.331333333333333,0.2912
Populus nigra,0.239,0.317,0.281,0.263,0.257,,,0.26,0.279,0.2714
Populus nigra,0.274,0.214,0.303,0.208,0.192,0.709,,0.2,0.263666666666667,0.2382
Populus nigra,0.284,0.363,0.422,0.186,0.193,0.381,,0.1895,0.356333333333333,0.2896
Populus nigra,0.234,0.277,0.283,0.211,0.178,0.514,,0.1945,0.264666666666667,0.2366
Populus nigra,0.173,0.194,0.178,0.208,0.173,0.757,,0.1905,0.181666666666667,0.1852
Populus nigra,0.17,0.194,0.192,0.225,0.22,0.585,,0.2225,0.185333333333333,0.2002
Populus nigra,0.22,0.21,0.231,0.164,0.173,0.558,,0.1685,0.220333333333333,0.1996
Populus nigra,0.194,0.202,0.243,0.258,0.181,0.765,,0.2195,0.213,0.2156
Populus nigra,0.201,0.177,0.189,0.159,0.133,0.918,,0.146,0.189,0.1718
Populus nigra,0.192,0.216,0.301,0.188,0.22,0.842,,0.204,0.236333333333333,0.2234
Populus nigra,0.206,0.219,0.176,0.191,0.213,0.441,,0.202,0.200333333333333,0.201
Populus nigra,0.417,0.353,0.379,0.296,0.315,0.598,,,0.383,
Populus nigra,0.167,0.193,0.216,0.205,0.168,0.634,,0.1865,0.192,0.1898
Populus nigra,0.281,0.266,0.222,0.185,0.234,0.927,,0.2095,0.256333333333333,0.2376
Populus nigra,0.208,0.203,0.276,0.22,0.152,0.716,,0.186,0.229,0.2118
Populus nigra,0.266,0.245,0.254,0.265,0.232,0.72,,0.2485,0.255,0.2524
Populus nigra,0.261,0.304,0.256,0.216,0.248,0.875,,0.232,0.273666666666667,0.257
Populus nigra,0.249,0.205,0.228,0.177,0.225,0.634,,0.201,0.227333333333333,0.2168
Populus nigra,0.195,0.24,0.235,0.203,0.186,0.596,,0.1945,0.223333333333333,0.2118
Populus nigra,0.162,0.161,0.2,0.167,0.165,0.454,,0.166,0.174333333333333,0.171
Populus nigra,0.149,0.16,0.162,0.156,0.185,0.514,,0.1705,0.157,0.1624
Populus nigra,0.207,0.227,0.228,0.223,0.19,0.372,,0.2065,0.220666666666667,0.215
Populus nigra,,,,,,0.483,,,,
Populus nigra,,,,,,0.84,,,,
Populus nigra,,,,,,0.735,,,,
