ssp,indiv,pic,Count,Total.Area,Average.Size,X.Area,Circ.,Solidity,vdensity,parasitism
Tapirira guianensis,Tapirira guianensis 1,Tapirira guianensis1 - GC4841 x5 011-1.tif,126,501664.04645,1942.176,14.069,0.763,0.933,35.3362775854554,Host
Tapirira guianensis,Tapirira guianensis 2,Tapirira guianensis 2 - GC4841 x10 002-1.tif,157,185202.8671,575.432,16.518,0.771,0.938,140.026233967519,Host
Tapirira guianensis,Tapirira guianensis 2,Tapirira guianensis 2 - GC4841 x10 003-1.tif,104,111084.59845,521.035,9.908,0.712,0.879,92.7610140719737,Host
Tapirira guianensis,Tapirira guianensis 2,Tapirira guianensis 2 - GC4841 x10 004-1.tif,96,112624.86185,572.281,10.045,0.784,0.941,85.622302585759,Host
Tapirira guianensis,Tapirira guianensis 2,Tapirira guianensis 2 - GC4841 x10 005-1.tif,97,141314.2941,710.658,12.604,0.788,0.942,86.5155225652435,Host
Tapirira guianensis,Tapirira guianensis 2,Tapirira guianensis 2 - GC4841 x10 006-1.tif,82,112085.89635,666.781,9.997,0.773,0.938,73.1362309349101,Host
Tapirira guianensis,Tapirira guianensis 2,Tapirira guianensis 2 - GC4841 x10 008-1.tif,80,112233.19705,684.349,9.978,0.78,0.94,71.1233414873126,Host
Tapirira guianensis,Tapirira guianensis 2,Tapirira guianensis 2 - GC4841 x10 009-1.tif,142,162100.61555,556.855,14.255,0.754,0.935,124.87367756945,Host
Tapirira guianensis,Tapirira guianensis 2,Tapirira guianensis 2 - GC4841 x10 010-1.tif,150,160751.92875,522.77,16.396,0.742,0.929,152.993498686093,Host
Tapirira guianensis,Tapirira guianensis 2,Tapirira guianensis 2 - GC4841 x10 011-1.tif,74,54141.9678,356.902,18.563,0.77,0.956,253.714827114208,Host
Tapirira guianensis,Tapirira guianensis 2,Tapirira guianensis 2 - GC4841 x10 007-1.tif,51,37235.6137,356.151,12.942,0.78,0.962,177.260943063227,Host
Tapirira guianensis,Tapirira guianensis3,Tapirira guianensis 3 - GC4841 x5 007-1.tif,177,458387.8146,1263.298,13.249,0.81,0.943,51.1591478941552,Host
Tapirira guianensis,Tapirira guianensis3,Tapirira guianensis 3 - GC4841 x5 008-1.tif,201,628572.31405,1525.476,18.168,0.808,0.939,58.0962272498295,Host
Tapirira guianensis,Tapirira guianensis3,Tapirira guianensis 3 - GC4841 x5 009-1.tif,192,565866.8628,1437.67,16.355,0.807,0.936,55.4929119627537,Host
Tapirira guianensis,Tapirira guianensis3,Tapirira guianensis 3 - GC4841 x5 010-1.tif,173,659621.13845,1859.921,19.065,0.789,0.937,50.002111935805,Host
Tapirira guianensis,Tapirira guianensis3,Tapirira guianensis 3 - GC4841 x5 011-1.tif,192,755850.7645,1920.353,21.846,0.8,0.943,55.4928591330412,Host
Tapirira guianensis,Tapirira guianensis3,Tapirira guianensis 3 - GC4841 x5 001-1.tif,156,509983.05715,1594.694,14.74,0.817,0.94,45.0885567228496,Host
Tapirira guianensis,Tapirira guianensis3,Tapirira guianensis 3 - GC4841 x5 003-1.tif,153,449810.6761,1434.117,13.001,0.832,0.949,44.2220050721468,Host
Tapirira guianensis,Tapirira guianensis3,Tapirira guianensis 3 - GC4841 x5 004-1.tif,146,476024.2516,1590.459,13.758,0.82,0.943,42.19675769141,Host
Tapirira guianensis,Tapirira guianensis3,Tapirira guianensis 3 - GC4841 x5 005-1.tif,142,517011.8245,1776.063,14.943,0.803,0.936,41.041730564907,Host
Tapirira guianensis,Tapirira guianensis3,Tapirira guianensis 3 - GC4841 x5 006-1.tif,156,392904.8122,1228.595,11.356,0.812,0.935,45.0881726309383,Host
Tipuana tipu,Tipuana tipu 1,Tipuana tipu - VSB25 x10 001-1.tif,41,84029.0736,999.751,8.699,0.558,0.886,42.4447140400225,Host
Tipuana tipu,Tipuana tipu 1,Tipuana tipu - VSB25 x10 002-1.tif,37,106246.4898,1400.745,10.999,0.549,0.894,38.3036654449548,Host
Tipuana tipu,Tipuana tipu 1,Tipuana tipu - VSB25 x10 003-1.tif,36,143609.43105,1945.927,14.866,0.568,0.899,37.2660761961845,Host
Tipuana tipu,Tipuana tipu 1,Tipuana tipu - VSB25 x10 004-1.tif,26,127240.32045,2387.248,13.172,0.641,0.942,26.9153676121538,Host
Tipuana tipu,Tipuana tipu 1,Tipuana tipu - VSB25 x10 005-1.tif,19,113017.18265,2901.596,11.7,0.633,0.928,19.6695754386689,Host
Tipuana tipu,Tipuana tipu 1,Tipuana tipu - VSB25 x10 006-1.tif,48,128009.96835,1300.914,13.252,0.649,0.907,49.691130167364,Host
Tipuana tipu,Tipuana tipu 1,Tipuana tipu - VSB25 x10 007-1.tif,35,138283.32605,1927.294,14.315,0.56,0.914,36.2317724277793,Host
Tipuana tipu,Tipuana tipu 1,Tipuana tipu - VSB25 x10 008-1.tif,44,142302.22395,1577.63,14.731,0.519,0.899,45.5484097161927,Host
Tipuana tipu,Tipuana tipu 1,Tipuana tipu - VSB25 x10 009-1.tif,40,133981.99965,1633.927,13.87,0.568,0.907,41.4085475249884,Host
Tipuana tipu,Tipuana tipu 1,Tipuana tipu - VSB25 x10 010-1.tif,66,133138.9679,984.028,13.783,0.6,0.893,68.3254507938844,Host
Tipuana tipu,Tipuana tipu 2,Tipuana tipu - VSB26 x10 006-1.tif,52,259986.78715,2438.9,26.914,0.69,0.898,53.830735605519,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB26 x10 007-1.tif,28,194618.70365,3390.57,20.147,0.726,0.96,28.9857032967653,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB26 x10 009-1.tif,39,243970.0736,3051.533,25.256,0.744,0.941,40.3731484548767,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB26 x10 010-1.tif,29,247857.5665,4169.177,25.658,0.752,0.967,30.0205481118528,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB26 x10 011-1.tif,27,201862.95675,3647.027,20.897,0.71,0.966,27.9505962403377,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB26 x10 001-1.tif,17,158659.3892,4552.637,16.424,0.798,0.971,17.5979500115207,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB26 x10 002-1.tif,54,176072.90305,1590.541,18.227,0.756,0.945,55.9005947508287,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB26 x10 003-1.tif,34,198484.86425,2847.703,20.547,0.762,0.961,35.196537662443,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB26 x10 004-1.tif,32,215222.58945,3280.832,22.28,0.75,0.957,33.1266342358377,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB26 x10 005-1.tif,32,194852.5,2970.312,20.171,0.76,0.957,33.1261851913627,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 001-1.tif,21,73360.6522,1704.08,7.594,0.761,0.954,21.7383563555614,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 002-1.tif,19,68198.375,1750.921,7.06,0.771,0.956,19.6690903558919,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 003-1.tif,18,61786.057,1674.419,6.396,0.801,0.957,18.633330170268,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 004-1.tif,13,62558.26535,2347.402,6.476,0.835,0.965,13.4575342728873,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 005-1.tif,9,41791.4066,2265.117,4.326,0.683,0.887,9.3162693404055,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 006-1.tif,25,127387.9348,2485.618,13.187,0.837,0.968,25.8796094400614,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 007-1.tif,12,66198.313,2690.988,6.853,0.781,0.948,12.4226730672125,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 008-1.tif,15,100206.19965,3258.738,10.373,0.717,0.944,15.5274823856669,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 009-1.tif,22,120293.85855,2667.27,12.453,0.796,0.964,22.7747287602489,Host
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 010-1.tif,14,63854.384,2224.891,6.61,0.704,0.917,14.492348716417,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 001-1.tif,63,396269.03645,3068.285,8.63,0.787,0.944,13.7202241404143,Host
