ssp;label;pic;Count;Total Area;Average Size;%Area;Circ.;Solidity
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 002-1.tif;106;41446826;391.008;8.796;0.817;0.939
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 003-1.tif;96;43569199;453.846;9.246;0.792;0.933
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 004-1.tif;52;32329.24;621.716;6.861;0.783;0.944
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 005-1.tif;66;42300.52;640.917;8.977;0.756;0.922
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 006-1.tif;75;34877836;465.038;7.402;0.752;0.919
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 007-1.tif;87;46521.54;534.73;9.873;0.775;0.94
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 008-1.tif;138;43865.14;317.863;9.309;0.693;0.884
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 009-1.tif;101;48951093;484.664;10.388;0.789;0.943
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 011-1.tif;76;26339.23;346.569;5.59;0.59;0.833
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 006-1.tif;76;29270455;385.138;6.212;0.633;0.885
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 007-1.tif;68;32912873;484.013;6.985;0.689;0.915
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 008-1.tif;78;39157969;502.025;8.31;0.656;0.901
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 009-1.tif;52;21119863;406.151;4.482;0.744;0.913
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 010-1.tif;72;31946.39;443.7;6.78;0.802;0.947
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 001-1.tif;32;14906.4;465.825;3.163;0.768;0.938
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 002-1.tif;47;13083735;278.377;2.777;0.463;0.73
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 003-1.tif;55;24857182;451.949;5.275;0.692;0.897
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 004-1.tif;56;21714238;387.754;4.608;0.589;0.882
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 005-1.tif;57;29828201;523.302;6.33;0.713;0.925
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 002-1.tif;116;283211222;2.441.476;16.282;0.778;0.93
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 003-1.tif;89;177562705;1.995.087;10.208;0.792;0.937
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 004-1.tif;106;192667924;1.817.622;11.077;0.794;0.935
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 005-1.tif;155;305146667;1.968.688;17.543;0.75;0.925
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 006-1.tif;147;270286428;1.838.683;15.539;0.771;0.931
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 007-1.tif;160;288890622;1.805.566;16.609;0.766;0.93
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 008-1.tif;169;296448214;1.754.131;17.043;0.773;0.933
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 009-1.tif;118;245212363;2.078.071;14.098;0.768;0.937
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 010-1.tif;121;230135374;1.901.945;13.231;0.775;0.936
Tapirira guianensis;Tapirira guianensis 1;Tapirira guianensis1 - GC4841 x5 011-1.tif;126;244714169;1.942.176;14.069;0.763;0.933
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 002-1.tif;157;90342862;575.432;16.518;0.771;0.938
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 003-1.tif;104;54187609;521.035;9.908;0.712;0.879
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 004-1.tif;96;54938957;572.281;10.045;0.784;0.941
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 005-1.tif;97;68933802;710.658;12.604;0.788;0.942
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 006-1.tif;82;54676047;666.781;9.997;0.773;0.938
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 008-1.tif;80;54747901;684.349;9.978;0.78;0.94
